fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
金融情景分析	pg	110812	data/figure/pg/2022-12-19--农牧饲渔-隆平高科-深度报告：乘转基因政策春风，种业龙头蓄势待发_page11_图242020年中国水稻市场竞争格局.jpg					如果隆平高科的市场份额增加到15%，其他企业的市场份额保持不变，此时整个市场的总份额将变为多少？	100%	103%	97%		A
金融情景分析	pg	110813	data/figure/pg/2022-11-17--环保行业-元琛科技-高温过滤材料优势企业，积极布局PET铜箔_page4_评级分布RatingDistribution.jpg					如果最新季度的评级分布保持不变，那么下个季度'优于大市'的评级占比是多少？	89.40%	89.50%	90%		A
金融情景分析	pg	110915	data/figure/pg/2023-06-13--食品饮料-千味央厨-千味央厨：大小B双轮驱动，餐饮市场大有可为_page15_图212021年速冻面米市场竞争格局.jpg					如果三全的市场份额增加5个百分点，其新份额是多少？	33%	28%	38%		A
金融情景分析	pg	110956	data/figure/pg/2022-12-22--工程建设-中国化学-深度报告之二：新能源材料的技术供应商_page45_图表煤电项目度电成本拆分以动力煤价格1200元吨为例.jpg					如果将成本折旧和其他成本合并为一个类别，其总占比为多少？	11%	10%	9%		A
金融情景分析	pg	111037	data/figure/pg/2022-12-25--食品饮料-安琪酵母-产能扩张叠加成本改善，业绩拐点将至_page23_图表44安琪酵母国内份额领先.jpg					如果安琪酵母的市场份额增加5个百分点，其新份额是多少？	66%	67%	68%		A
金融情景分析	sdt	111757	data/figure/sdt/2024-06-02--通信设备-三旺通信-深度报告：工业互联网行业开启上行新周期，公司多方位发力构筑高质量增长_page20_表4公司分业务收入及毛利率预测.jpg					如果2025年智慧城市和智慧交通的收入增长率均为20.00%，且2024年的收入分别为61.75百万元和104.25百万元，那么2025年这两项业务的总收入预计为多少？	175.80百万元	174.80百万元	176.80百万元		A
金融情景分析	sdt	111841	data/figure/sdt/2024-03-17--食品饮料-欧福蛋业-国内蛋液行业第一品牌，发力预制品开拓增长空间_page17_表7分业务收入及毛利率.jpg					2025年其他类别的成本预计为13.3百万元，如果2024年的成本为11.9百万元，请问2025年的成本增长率是多少？	11.80%	12.60%	10.90%		A
金融情景分析	sdt	121460	data/figure/sdt/2024-08-04--半导体-海光信息-稀缺CPU+AI双料厂商，深算系列有望迎来质变突破_page16_图33海光7285与Intel同期铂金系列产品性能对比.jpg					如果将Intel8376HL（铂金）的Speccpu_FP性能与Intel8360H（铂金）进行比较，前者高出的比例是多少？	10.50%	11.20%	11.80%	12.50%	B
金融情景分析	sdt	121484	data/figure/sdt/2024-07-16--工程机械-五新隧装-深度报告：隧道钻爆法设备小巨人，铁公路水利矿山领域齐发力_page20_no_caption.jpg					拱架安装车在2023年的毛利润为2,080万元，如果2024年的毛利润增长了50%，那么2024年的毛利润将是多少？	3,120万元	3,000万元	3,500万元	4,000万元	A
金融情景分析	sdt	121501	data/figure/sdt/2024-07-01--工程建设-四川路桥-当前时点，怎么看四川路桥的投资价值？_page17_表15公司分业务营收预测表.jpg					假设2023年四川路桥的总毛利润为100亿元，那么2024年的总毛利润预计为多少亿元？	109.8亿元	110.98亿元	117.81亿元	118.33亿元	B
金融情景分析	sdt	121503	data/figure/sdt/2024-06-30--文化传媒-万达电影-深度报告：重整旗鼓，三大战略蓄势待发_page49_no_caption.jpg					如果2023年的摊薄每股收益为0.42元，那么2026年的摊薄每股收益增长了多少倍？	1.5倍	1.8倍	2.0倍	2.2倍	C
金融情景分析	sdt	121512	data/figure/sdt/2024-06-25--中药-白云山-公司深度报告：华南医药消费龙头稳健增长，盈利能力持续优化_page15_表1大健康板块同行企业估值对比.jpg					如果以2023年的市盈率（PE）为基准，哪家公司相对于可比公司平均PE的折价幅度最大？	承德露露	养元饮品	伊利股份	李子园	A
金融情景分析	sdt	121643	data/figure/sdt/2024-03-15--家电行业-飞科电器-双品牌交接基本完成，毛利率改善明显_page1_表1分业务收入及毛利率.jpg					根据表格数据，2023年飞科电器其他产品的营业收入为180.27百万元，营业成本为95.26百万元，如果2024年其他产品营业收入增长20%，且营业成本增长20%，那么2024年其他产品的毛利率将变为多少？	47.16%	48.00%	49.00%	50.00%	B
金融情景分析	pg	141080	data/figure/pg/2023-12-11--塑料制品-蓝晓科技-吸附分离平台型企业，多业务线成长共振_page15_图表30全球吸附分离材料产能分布情况.jpg					如果全球吸附分离材料产能的境外部分增加5个百分点，其占比将超过境内部分。					否
