fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
财务数据统计	lc	110039	data/figure/lc/2024-07-29--平安证券-中国经济高频观察（7月第4周）：7月高频数据表现如何_page5_图表207月涤纶长丝江浙织机开工回落同比涨幅收窄.jpg					在2023年，开工率最高点出现在哪个月份？	4月	6月	8月		A
财务数据统计	lc	110042	data/figure/lc/2023-07-04--国投安信期货-5月美国PCE数据快报_page0_图美国个人总收入及薪金工资同比.jpg					在哪一年，PCE:非耐用品的同比增速达到最低点？	22-Sep	22-Oct	22-Nov		B
财务数据统计	lc	110044	data/figure/lc/2023-07-31--中泰证券-高频数据观察：大宗商品价格上行_page6_图表16出口集装箱运价指数.jpg					CCFI综合指数在2022年的平均值最接近哪个数值？	3000	3500	4000		B
财务数据统计	lc	110063	data/figure/lc/2023-07-20--天风证券-宏观：二季度经济数据中的亮点_page5_图8基建投资的分化单位累计同比.jpg					2022年6月，哪种投资的累计同比增速最低？	基础设施投资（不含电力）	基础设施建设投资	电力、热力、燃气及水生产和供应业		A
财务数据统计	lc	110111	data/figure/lc/2024-07-10--开源证券-宏观经济点评：消费增长延续以价换量_page4_图4截至2024年6月核心CPI环比连续4个月弱于季节性.jpg					2024年1月核心CPI环比与季节性相比，哪个更高？	核心CPI环比	核心CPI环比季节性	两者相同		A
财务数据统计	lc	110116	data/figure/lc/2023-09-17--信达证券-宏观研究专题报告：库存周期见底能否代表经济见底？_page9_图139月房地产销售低迷.jpg					2022年商品房成交面积最高的月份是？	7月	8月	9月		A
财务数据统计	lc	110137	data/figure/lc/2024-06-05--国投安信期货-4月美国PCE数据快报_page0_图美国PCE分项同比走势.jpg					美国核心PCE当月同比在哪一年首次降至3%以下？	2023	2024	2025		A
财务数据统计	lc	110143	data/figure/lc/2023-06-28--民生证券-2023年H2宏观指标预测：寻找大变量_page26_图22生猪供应压力趋于缓释.jpg					哪个年份生猪出栏同比%的增长最为显著？	2017	2019	2021		B
财务数据统计	lc	110168	data/figure/lc/2024-03-17--国联证券-宏观专题报告：地产长周期拐点后的产业结构变化_page14_图表23粗钢产量增速与GDP增速出现背离.jpg					在哪个时间段，名义GDP同比增速达到峰值？	2010-2011	2017-2018	2020-2021		A
财务数据统计	hg	110196	data/figure/hg/2023-11-16--国金证券-2023年10月经济数据点评：复苏波折下，政策落地提速_page3_图表210月主要经济指标两年复合增速全面走弱.jpg					哪一项经济指标在9月和10月均出现了负增长？	餐饮收入	地产投资	固定资产投资		B
财务数据统计	hg	110213	data/figure/hg/2022-10-26--中航证券-2022年9月及前三季度经济数据点评：全年经济“√”型确立，但复苏基础依然不牢固_page10_图17房地产开发投资完成额相关数据当月同比走势.jpg					2022年1-9月哪个行业的投资完成额最高？	电气机械及器材制造业	计算机、通信和其他电子设备制造业	化学原料及化学制品制造业		A
财务数据统计	hg	110220	data/figure/hg/2023-09-11--中国银河-金融高频数据周报：银行间资金紧张，非美货币承压_page6_no_caption.jpg					哪一天的地方政府债到期量最高？	9月17日	9月14日	9月16日		A
财务数据统计	hg	110222	data/figure/hg/2023-02-12--东吴证券-宏观点评：信贷狂飙：今年开门红成色几何？_page1_图22017年之后1月社融也多超预期.jpg					从2017年到2023年，哪一年的1月新增社融实际值最高？	2022年	2023年	2021年		A
财务数据统计	hg	110247	data/figure/hg/2023-11-02--国联证券-美联储11月议息会议点评：利率终点或隐约可见_page11_图表18新增非农就业万人.jpg					2023年1月的新增非农就业人数初值是多少？	50万人	40万人	60万人		A
财务数据统计	hg	110271	data/figure/hg/2023-01-31--民生证券-春节假期海外经济跟踪：海外衰退风险仍不可忽视_page3_图1今年1月21日至1月27日海外股票市场表现.jpg					哪个指数在2023年1月21日至1月27日期间表现最差？	伦敦FT100指数	德国DAX指数	巴黎CAC40指数		A
财务数据统计	hg	110315	data/figure/hg/2024-04-17--信达证券-如何看待3月经济回踩_page3_图3工业产销率.jpg					从2018年到2024年，哪一年的平均产销率最高？	2018	2024	2021		A
财务数据统计	hg	110359	data/figure/hg/2024-04-03--国信证券-中国如何走出消费需求不足的困境？_page6_图7中国限额以上企业家用电器和音像器材类零售额同比一览.jpg					从2014年到2023年，中国家用电器和音像器材类零售额累计同比最高的年份是？	2015年	2017年	2018年		A
财务数据统计	hg	110370	data/figure/hg/2023-02-10--国海证券-政策研究：曙光乍现_page44_俄罗斯粮食能够完全自给自足.jpg					2017年粮食产量达到峰值，其值为多少？	135.5百万吨	120.7百万吨	121.3百万吨		A
财务数据统计	hg	110385	data/figure/hg/2024-03-17--国联证券-宏观专题报告：地产长周期拐点后的产业结构变化_page8_图表14各行业增加值占GDP比重的变动2023vs2020.jpg					在2023年和2020年的产业结构变化中，哪个行业增加值占GDP比重的变动最大？	房地产业	制造业	信息软件服务业		A
财务数据统计	hg	110432	data/figure/hg/2023-10-30--招商银行-行内偕作·快评号外（第624期）：2023年9月财政数据点评-收入修复加快，支出增速放缓_page4_图1财政收支进度均不及往年均值.jpg					哪一年的财政支出完成度最低？	2022年	2023年	2020年		A
财务数据统计	hg	110444	data/figure/hg/2023-09-03--华福证券-8月全球经济观察：美联储票委派系解析_page13_图表188月人民币较美元升值美元指数下跌.jpg					8月涨跌幅最高的货币对是？	人民币兑韩元	美元兑人民币	美元指数		A
财务数据统计	hg	110473	data/figure/hg/2023-04-18--中国银河-2023年4月月中报告：美通胀衰退预期博弈，国内经济复苏稳中向好公司深度报_page18_图35信用债融资情况.jpg					2.16-3.15 期间的总发行量是多少？	40,350.64 亿元	38,454.46 亿元	40,646.47 亿元		A
财务数据统计	hg	110503	data/figure/hg/2024-05-08--国金证券-大类资产月报第12期：5月展望：“拐点”已现？_page15_图表46本月新兴市场10年期国债收益率全线上行.jpg					哪个国家的国债收益率最低？	泰国	越南	印度		B
财务数据统计	hg	110515	data/figure/hg/2023-02-15--粤开证券-【粤开宏观】从财税视角看吉林：“白山黑土”的转型之困不财政之难_page17_图表232021年31省份一般公共预算支出规模.jpg					2021年一般公共预算支出最高的省份是哪个？	广东	江苏	山东		A
财务数据统计	hg	110522	data/figure/hg/2023-08-05--中国银河-8月4日四部委联合发布会点评：逆周期调节加码，高质量发展升级_page20_图342023年47月交通运输细分行业多数下跌.jpg					2023年4-7月物流行业的涨跌幅是多少？	-8%	-6%	-4%		A
财务数据统计	frg	110581	data/figure/frg/2023-07-20--教育-学大教育-巩固个性化教育优势，积极布局职业教育_page4_图2公司部分股权结构图截至2023年3月31日.jpg					“紫光集团有限公司破产企业财产处置专用账户”和“浙江台州椰林海投资策划有限公司”的持股比例之和是多少？	24.31%	20.57%	19.68%		A
