fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
金融实体关系解读	frg	110548	data/figure/frg/2023-05-18--半导体-圣邦股份-品类持续深挖，高端加速推进，模拟龙头稳健发展_page7_图2公司发展历程.jpg					2018年圣邦股份通过哪一次收购获得了大连阿尔法模拟技术和钰泰半导体？	收购上海方泰	收购上海萍生和杭州深谙	收购大连阿尔法模拟技术和钰泰半导体		C
金融实体关系解读	frg	110666	data/figure/frg/2023-10-16--化学制品-巨化股份-公司深度报告：氟化工有望进入长期景气周期，龙头一体化优势尽显_page19_图33氟制冷剂产业链.jpg					在氟制冷剂产业链中，R22和R32的生产路径是否相同？	是	否	不确定		B
金融实体关系解读	frg	120198	data/figure/frg/2022-10-24--纺织服装-新澳股份-深度报告：多品类宽带发展，毛纺龙头量价齐升成长可期_page11_图16毛纺织产业链分布情况.jpg					在毛纺织产业链中，原毛生产与原毛初加工之间的关系是什么？	直接关系	间接关系	并列关系	无关系	A
金融实体关系解读	frg	120226	data/figure/frg/2023-01-19--软件开发-中科江南-财政信息化领军，乘政策东风加速发展_page6_图表2中科江南股权结构.jpg					中科江南的实际控制人是？	广州市国资委	天津众志软科	衡凤英	天津科鼎好友	A
金融实体关系解读	frg	120287	data/figure/frg/2022-12-27--酿酒行业-重庆啤酒-高端化领军者，产品结构持续升级_page7_图9公司股权结构.jpg					嘉士伯基金会在嘉士伯公司中的持股比例是多少？	30.30%	69.70%	42.54%	17.46%	A
金融实体关系解读	frg	120348	data/figure/frg/2023-06-04--互联网服务-彩讯股份-彩讯股份：AI赋能三大产品线共振，把握增长新起点_page17_图表34国资云构成.jpg					以下哪个机构直接监管国有资本投资公司？	各级国资委	中央/地方国企	产业公司：社会基础设施与环境	国有资本运营公司	A
金融实体关系解读	frg	120395	data/figure/frg/2022-12-06--贸易行业-建发股份-公司首次覆盖报告：住宅深耕核心城市群，供应链业务持续增长_page5_图4国资背景助力公司双主业持续发展.jpg					建发集团持有建发股份的股权比例是多少？	45.13%	54.87%	60%	95%	A
金融实体关系解读	frg	120414	data/figure/frg/2023-07-24--电网设备-金盘科技-干变龙头赋能新业务，储能数字化引领新成长_page6_图表2金盘科技股权结构截至2023年3月31日.jpg					实际控制人通过哪些公司间接持有海南金盘智能科技股份有限公司的股份？	元宇投资、敬天投资、Forebright Smart、金榜国际	元宇投资、敬天投资、Forebright Smart	元宇投资、敬天投资、金榜国际	元宇投资、Forebright Smart、金榜国际	A
金融实体关系解读	frg	120443	data/figure/frg/2022-12-19--通信设备-锐捷网络-企业网设备新贵，中小客户解决方案能力强_page16_图26锐捷网络股权结构.jpg					福建省国资委通过电子信息集团间接持有星网锐捷的股权比例是多少？	26.50%	51%	13.51%	100%	C
金融实体关系解读	frg	120482	data/figure/frg/2023-04-16--商业百货-小商品城-线下商城开局向好，线上平台业务打开盈利空间_page8_图11公司股权结构.jpg					浙江省财政厅通过哪些公司间接持有小商品城的股份？	浙江省财务开发有限公司、义乌市国有资本运营有限公司	浙江省财务开发有限公司、浙江浙财资本管理有限公司	义乌市国有资产监督管理委员会、义乌市市场发展集团有限公司	义乌市国有资产监督管理委员会、义乌中国小商品城控股有限责任公司	B
