fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
金融市场情绪洞察	lc	110121	data/figure/lc/2024-07-05--中国银河-宏观动态报告：汇率来到关键位置_page2_图61年期NDF隐含的汇率预期.jpg					1年期NDF隐含的汇率预期在哪个时间段达到最低点？	23-Aug	23-Oct	24-Jun		C
金融市场情绪洞察	lc	110138	data/figure/lc/2024-08-02--浦银国际证券-月度美国宏观洞察：迎接降息和美国大选_page6_no_caption.jpg					在选举日前60天到选举日当天，哪个候选人的当选预期对市场影响更大？	特朗普	拜登	两者相同		A
金融市场情绪洞察	frg	110531	data/figure/frg/2023-09-14--美容护理-润本股份-“庖丁解牛”拆析招股书（十九）润本股份：驱蚊赛道国货龙头，婴童护理业务未来可期_page28_图表公司营销相关事件.jpg					2019年润本股份在小红书上的营销活动主要目的是什么？	吸引平台用户	分享育儿知识	发布优惠信息		A
金融市场情绪洞察	lc	140136	data/figure/lc/2024-05-08--国金证券-大类资产月报第12期：5月展望：“拐点”已现？_page10_图表26美德利差的相对缩窄或导致美元暂别强势.jpg					2023年10Y美德利差是否达到2.0%以上？					是
金融市场情绪洞察	lc	150061	data/figure/lc/2024-07-11--万联证券-6月通胀数据点评：CPI延续低位，需求有待修复_page6_图表15M1回落政策挤水分带来一定影响.jpg					假设2023年政策进一步收紧，M1同比增速大幅下降，对PPI的影响可能是？	PPI会显著下降	PPI会小幅上升	PPI会保持不变	PPI会先降后升	A
金融市场情绪洞察	lc	150070	data/figure/lc/2023-05-18--中银证券-3月美国国际资本流动报告点评：全球“美元荒”缓解，国际资本风向正在起变化_page1_图表2吴夏影子利率和国际资本流动净额.jpg					假设2014年后的利率持续上升，对国际资本流动净额的影响可能是？	净额增加	净额减少	净额保持不变	净额剧烈波动	B
金融市场情绪洞察	lc	150096	data/figure/lc/2024-06-14--海通国际-国际能源与ESG周报：地缘政治扰动频发，全球电网投资景气度持续_page9_图10近一年硅片价格走势元片.jpg					如果2023年3月单晶N型182mm/130μm硅片价格没有下跌，其在2023年下半年的价格趋势会如何？	价格显著上升	价格小幅波动	价格持续下降	价格保持平稳	D
金融市场情绪洞察	hg	150114	data/figure/hg/2023-10-13--国联证券-美国9月CPI数据点评：通胀数据略超预期，美联储或继续鹰派姿态_page2_图表311月会议加息概率.jpg					如果直方图中550-575的概率从5.5%上升到20%，这表明市场对什么的看法发生了变化？	对利率上升的预期增强	对利率上升的预期减弱	对利率下降的预期增强	对利率下降的预期减弱	A
金融市场情绪洞察	hg	150137	data/figure/hg/2024-05-09--国金证券-2024年4月经济数据前瞻：4月经济前瞻：“量增”强于“价涨”_page8_图表192024年清明假期祭扫人次车辆显著增加.jpg					如果清明节祭扫车辆数量显著增加，可能会导致什么结果？	祭扫群众人数显著增加	祭扫群众人数保持不变	祭扫群众人数显著减少	祭扫群众人数略有减少	A
金融市场情绪洞察	hg	150189	data/figure/hg/2023-05-22--华金证券-华金宏观·双循环周报（第10期）：中美财政时空交错的汇率演绎_page7_图10标普500及行业涨幅对比成长股表现较好整体表现一般.jpg					如果通信行业的涨幅从负值变为正值，会对整体市场表现产生什么影响？	整体市场表现会显著提升	整体市场表现会略有下降	整体市场表现不会有明显变化	整体市场表现会更加波动	A
金融市场情绪洞察	hg	150205	data/figure/hg/2024-04-12--东吴证券-宏观点评：黄金：站上2500需要怎样的“宏观叙事”？_page7_图9近期全球主要黄金ETF资金流入情况流入排名前7和后5的基金.jpg					如果Xtrackers 黄金ETC（英国）在近一周的资金流入为正数，但远低于其他基金，会有什么结果？	表现一般	表现优异	市场关注较少	投资回报率较低	C
金融市场情绪洞察	hg	150243	data/figure/hg/2022-11-25--中信期货-2023年度策略报告：进退有度，内外分化_page18_图表51部分国家的人均GDP.jpg					如果印度的人均GDP增加到与韩国相同，那么印度在全球经济中的地位会发生什么变化？	显著提升	略有提升	保持不变	下降	A
金融市场情绪洞察	hg	150509	data/figure/hg/2023-04-13--国投安信期货-2023年春季宏观经济与大类资产运行展望：登高望远，攻守兼备_page2_图美国通胀同比增速到了6左右主要靠非核心通胀的压降服务业的压力仍然存在.jpg					假设2022年6月的住房价格大幅下跌，对整体通胀率的影响是什么？	大幅下降	略有下降	保持不变	略有上升	A
金融市场情绪洞察	pg	150576	data/figure/pg/2024-02-19--光学光电子-维信诺-首次覆盖：OLED上行周期量价齐升；ViP技术助力降本增效_page23_no_caption.jpg					如果最新季度的'优于大市'比例下降到85%，其他两个类别的比例将如何变化？	'中性'和'弱于大市'的比例都将增加	'中性'的比例将增加，'弱于大市'的比例将保持不变	'中性'的比例将保持不变，'弱于大市'的比例将增加	'中性'和'弱于大市'的比例都将保持不变	A
金融市场情绪洞察	pg	150800	data/figure/pg/2023-11-28--通信设备-海能达-公司首次覆盖报告：“2+3+1”战略成效初现，多业务协同重回增长正轨_page15_图24不同类型对讲机市场份额2022年销售额口径.jpg					假设数字对讲机的市场份额增加10个百分点，模拟对讲机能否保持领先地位？	是	否			B
金融市场情绪洞察	sdt	151717	data/figure/sdt/2024-08-15--化学制药-科伦药业-三发驱动，发展驶入快车道_page22_图表36抗生素分类.jpg					假设科伦药业的头孢菌素类抗生素市场份额从20%增长到25%，其市场竞争力将如何变化？	显著增强	略有增强	保持不变	减弱	A
