fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
金融信息识别	lc	110124	data/figure/lc/2024-05-29--建银国际证券-中国经济评论：四月数据显示经济逐步复苏_page2_no_caption.jpg					图中2023年的数据趋势与2022年相比，哪个更接近2017-2019年的平均水平？	2022	2023	两者都接近		B
金融信息识别	lc	110139	data/figure/lc/2023-11-09--信达证券-专题报告：通胀低迷的逻辑_page4_图6猪肉同比降幅扩大部分源于去年基数上行.jpg					观察图表，2023年猪肉价格在哪个月份开始显著上升？	6月	7月	8月		B
金融信息识别	hg	110198	data/figure/hg/2022-11-14--平安证券-国内宏观周报：民营房企融资松绑_page10_图表38本周主要期限国债收益率上行.jpg					根据直方图，哪一年的中债国债到期收益率周变化最大？	1年	3年	5年		A
金融信息识别	hg	110254	data/figure/hg/2023-04-26--中国银河-2023年二季度宏观经济展望：始于足下_page8_图12美国CPI与核心CPI同比增速预测显示通胀上半年较快回落下半年展现粘性1.jpg					根据直方图，美国CPI在2022年6月达到峰值，峰值是多少？	9.1	8.5	7.9		A
金融信息识别	hg	110329	data/figure/hg/2023-06-24--国金证券-见微知著系列之五十五：基建落地“新”变化？_page7_图表16公共设施管理项目从签约至开工时间相对较长.jpg					根据直方图，哪类基建项目的招标至开工时长最长？	交通运输	道路运输	公共设施管理		C
金融信息识别	frg	110638	data/figure/frg/2023-09-17--软件开发-金橙子-公司首次覆盖报告：激光振镜控制系统领军企业，国产替代+新品拓展打开成长空间_page4_图3公司股权结构稳定.jpg					图中股权占比最高的股东是以下哪一方？	马会文	程鹏	吕文杰		A
金融信息识别	frg	110700	data/figure/frg/2023-04-05--工程建设-中材国际-运维优化商业模式，数字智能驱动水泥服务龙头再成长_page4_图3公司股权结构.jpg					图中股权占比最高的股东是以下哪一方？	中国建材（3323.Hk）	中材国际	其他股东		A
金融信息识别	pg	110741	data/figure/pg/2023-02-13--通信设备-长飞光纤-光纤光缆龙头，多领域布局创新业务_page13_图152020年全球光纤光缆企业市场份额.jpg					根据图中的市场份额情况，哪个企业的市场份额最高？	康宁	古河电工/OFS	长飞		A
金融信息识别	pg	110768	data/figure/pg/2022-10-17--水泥建材-海螺水泥-珍惜优质资产与历史最低PB_page8_图表9华东地区行业集中度相对较高2021年.jpg					根据图中的数据，以下哪个公司的市场份额最大？	中国建材	海螺水泥	山水集团		A
金融信息识别	pg	110826	data/figure/pg/2023-10-11--食品饮料-安井食品-首次覆盖：速冻龙头稳经营，预制菜肴助增长_page7_图182022年速冻鱼糜产品与肉制品及其他产品规模占比情况.jpg					根据图中信息，速冻鱼糜产品的占比为多少？	50%	40%	60%		A
